Bundesland;Fälle;Dif­fe­renz zum Vor­tag;Erkr./ 100.000 Einw.;Todes­fälle;Beson­ders betroffene Ge­biete in Deutsch­land;
Baden-Württemberg;3.811;4;34;21;;WAHR
Bayern;4.892;1.242;37;26;;WAHR
Berlin;1077;53;29;1;;WAHR
Brandenburg;288;14;11;;;WAHR
Bremen;170;5;25;;;WAHR
Hamburg;943;71;51;;;WAHR
Hessen;1347;172;21;3;;WAHR
Mecklenburg-Vorpommern;172;0;11;;;WAHR
Niedersachsen;1.483;177;19;4;;WAHR
Nordrhein-Westfalen;5.615;2.070;31;28;Landkreis Heinsberg;WAHR
Rheinland-Pfalz;1.177;124;29;2;;WAHR
Saarland;200;13;20;;;WAHR
Sachsen;653;47;16;;;WAHR
Sachsen-Anhalt;212;1;10;;;WAHR
Schleswig-Holstein;383;36;13;1;;WAHR
Thüringen;249;33;12;;;WAHR
Gesamt;22.672;4.062;27;86;;FALSCH
